target_1,y_test_1,predicted_1,target_2,y_test_2,predicted_2,target_3,y_test_3,predicted_3,target_4,y_test_4,predicted_4,target_5,y_test_5,predicted_5,target_6,y_test_6,predicted_6,target_7,y_test_7,predicted_7
11.417,11.417,8.277154,11.701,11.701,7.529372,11.119,11.119001,7.180682,11.297,11.297001,8.209626,12.363,12.363,8.632945,12.799,12.798999,7.5867467,12.403,12.402999,7.963316
4.245,4.245,2.968828,4.324,4.324,3.4218082,4.397,4.3969994,3.3535702,4.232,4.2320004,4.0835876,5.711,5.7109995,4.593754,5.711,5.711,3.5679872,5.933,5.9329996,3.0533118
0.108,0.1079999,-0.41199788,0.25,0.24999999,0.9855007,0.327,0.3270001,0.676794,0.209,0.20899998,2.4501476,2.222,2.222,2.238611,2.343,2.3430004,1.2483852,3.12,3.1200004,0.4641146
-1.15,-1.15,-1.290381,-1.203,-1.2030001,-0.17360994,-1.221,-1.2209998,-0.25436848,-1.354,-1.354,1.533005,0.788,0.7879999,1.3210963,0.919,0.91899997,-0.031140903,1.332,1.332,-0.7042263
-1.581,-1.581,-1.6508415,-1.841,-1.8409998,-0.8557337,-1.361,-1.3610001,-0.43225142,-1.705,-1.705,1.0250852,0.487,0.48700002,1.4145242,0.42,0.42000002,-0.53040123,1.103,1.1029999,-0.83879083
-0.268,-0.26799998,-1.328752,-0.217,-0.21699993,-1.0894269,-0.088,-0.088,-0.4162642,-0.271,-0.27100006,0.68750465,1.343,1.343,1.5268772,1.189,1.1890001,-0.58557636,1.818,1.818,-0.5620937
-0.397,-0.39700007,-0.8250501,-0.413,-0.41300008,-0.5584393,-0.401,-0.4009999,0.0024045561,-0.409,-0.4090001,0.932977,1.306,1.306,1.3517593,1.291,1.2910001,-0.50347924,1.938,1.938,-0.5849549
0.082,0.08199996,3.9095938,0.008,0.007999995,3.8999615,0.292,0.29199997,3.926956,0.225,0.22500004,4.7824206,1.708,1.7079998,5.2443733,1.668,1.6679999,4.0898457,2.378,2.3780003,3.699175
14.337,14.337,11.23415,12.874,12.874001,10.458257,13.383,13.383,9.157142,12.425,12.425001,10.401959,16.874,16.874,10.227722,17.543,17.543,9.926139,16.394,16.394,10.076736
13.548,13.548,10.939141,13.786,13.786001,9.650386,14.113,14.113001,9.144586,14.526,14.526,10.100631,14.291,14.291,10.061553,15.42,15.42,9.849329,15.484,15.484,9.821103
8.441,8.440999,5.394845,8.554,8.554,4.7247705,8.5,8.5,5.121838,8.523,8.523,5.782825,8.539,8.5390005,6.6101756,8.501,8.501,5.2848363,8.526,8.526,5.5606546
2.592,2.5919998,4.1008024,2.742,2.7419999,3.524191,2.815,2.815,3.957613,2.707,2.7069998,5.039376,3.681,3.681,5.6529484,3.474,3.4739997,4.0687547,4.177,4.1770005,4.344475
1.153,1.1529999,1.7588336,1.238,1.2380002,2.246295,1.393,1.3930001,2.4766738,1.321,1.321,4.0788627,2.618,2.618,4.4284825,2.535,2.5349998,2.5796576,2.893,2.8930004,2.5328236
1.391,1.3909998,1.4803371,1.428,1.428,1.4570054,1.478,1.478,1.5729126,1.298,1.298,2.6515703,2.531,2.531,2.8999617,2.393,2.393,1.6819432,2.888,2.8880002,1.7451016
-0.515,-0.515,0.20070277,-0.483,-0.48299992,0.6597883,-0.409,-0.40899995,0.9818259,-0.594,-0.5939998,1.6350254,1.079,1.0789999,2.0497634,1.163,1.1630001,1.1553016,1.727,1.727,1.1867028
-0.126,-0.12599988,-0.029221045,-0.317,-0.31699988,0.36983186,-0.074,-0.07399995,0.71751773,-0.439,-0.43900004,1.3945948,1.422,1.422,1.8076435,1.534,1.5340002,0.81779313,1.623,1.6230001,0.75660485
-0.606,-0.60600007,0.8363123,-0.522,-0.5220001,1.1327668,-0.31,-0.30999997,1.3872055,-0.422,-0.42200002,2.023238,0.823,0.823,2.4402554,0.91,0.9100001,1.5442227,1.257,1.2570001,1.2510669
7.732,7.732,9.676085,8.321,8.320999,10.16798,7.856,7.856,9.024443,8.113,8.113,9.92269,8.093,8.093001,9.751289,8.885,8.885,10.625684,9.808,9.808,9.699585
13.481,13.481,12.683098,14.078,14.078,12.395322,13.287,13.287001,11.040494,13.868,13.868,11.953275,14.865,14.865,11.378115,18.408,18.408,12.464579,16.627,16.627,12.96839
10.07,10.07,8.397431,10.193,10.193,8.136689,10.038,10.038001,8.026669,10.058,10.058001,8.532677,10.566,10.566,9.459435,11.12,11.12,8.754667,11.257,11.257,9.494038
7.059,7.0589995,6.271634,7.148,7.1479993,6.334928,6.954,6.9540005,6.3082986,6.884,6.884,6.736892,7.283,7.2830005,7.0331025,7.255,7.2550006,6.533195,7.464,7.464,6.8501306
6.574,6.574,6.319159,6.607,6.607,6.804407,6.547,6.5470004,6.332508,6.498,6.4980006,6.9985247,6.936,6.936,7.1351595,6.973,6.9729996,7.1217527,7.195,7.195,6.9452057
6.838,6.838,6.577188,6.909,6.908999,6.937262,6.732,6.732,6.751224,6.724,6.724001,7.281043,7.269,7.269,7.2201934,7.322,7.3220005,7.0432673,7.522,7.522,7.310139
6.837,6.837,6.149973,6.86,6.859999,6.5739627,6.799,6.7990007,6.216874,6.753,6.7529993,6.5523005,7.141,7.1409993,6.6505504,7.196,7.196,6.3100643,7.481,7.481,6.781428
6.679,6.679,6.8319387,6.717,6.716999,6.679314,6.577,6.577,6.1701007,6.61,6.61,6.565225,7.341,7.341,6.885248,7.355,7.3550005,6.427348,7.365,7.365,6.645082
6.648,6.647999,6.7264156,6.694,6.694,6.760749,6.472,6.472,6.247646,6.477,6.477,6.602513,7.291,7.2910004,7.0515804,7.233,7.233,6.8524613,7.363,7.363,6.7964892
6.698,6.698001,7.594623,6.685,6.6849995,7.3262415,6.514,6.514,6.9001236,6.507,6.5069995,7.3342934,7.373,7.3730006,7.605777,7.454,7.454,7.70399,7.464,7.464,7.7197576
10.971,10.971,9.620357,10.957,10.957001,9.700144,10.478,10.478,8.915089,10.844,10.844,9.64841,10.87,10.87,9.584641,11.161,11.161,9.551919,11.869,11.869,9.988602
12.015,12.015,9.687976,11.719,11.719001,9.43639,11.543,11.543001,8.679145,11.712,11.712,9.239297,11.595,11.595,9.511027,11.572,11.572,9.448105,12.113,12.113,9.721823
8.968,8.968,11.716441,9.047,9.047,11.814211,8.711,8.711,10.525031,8.832,8.832,11.046007,9.216,9.216,11.92042,9.307,9.307,12.210847,9.549,9.549001,11.496094
15.505,15.505001,13.247739,16.02,16.02,12.528569,16.51,16.51,11.148655,16.881,16.881,11.838681,15.44,15.44,12.698931,16.356,16.356,13.39947,16.972,16.972,12.406393
8.967,8.966999,7.077737,8.961,8.961,6.760361,9.213,9.213001,6.8420706,9.087,9.087,7.1615453,9.834,9.834,7.359131,10.271,10.271,6.7342086,10.11,10.11,7.224051
2.348,2.3479998,4.462333,2.255,2.2550004,4.4433355,2.371,2.371,4.665152,2.259,2.2590003,5.194446,3.434,3.4340003,5.1133466,3.317,3.3170002,4.472416,4.348,4.348,4.85976
0.074,0.07399999,1.499732,0.028,0.027999982,2.4769115,0.179,0.17899993,2.6406684,0.202,0.20200004,4.028686,1.182,1.1820002,3.6461756,1.335,1.3349999,2.586727,2.6,2.6,2.803246
3.429,3.429,4.960377,3.449,3.449,5.4313197,3.325,3.3249998,5.738995,3.323,3.3230002,6.473292,4.312,4.312,6.3531923,4.403,4.403,5.753443,4.927,4.927,5.501231
